Year,Month,Stage of processing number,Stage of processing details,Index Value,
2011,JUN,2.4,Containers,103.4,
2011,JUN,2.5,Supplies,100.9,
2011,JUN,2.5.1,Manufacturing industries,100.8,
2011,JUN,2.5.2,Non-manufacturing industries,101.8,
2011,JUN,2.5.2.1,Feeds,-,
2011,JUN,2.5.2.2,Other supplies,101.8,
2011,JUN,3,Finished goods,99.7,
2011,JUN,3.1,Finished consumer goods,104.4,
2011,JUN,3.1.1,Finished consumer foods,107.4,
2011,JUN,3.1.1.1,Crude,107.7,
2011,JUN,3.1.1.2,Processed,107.4,
2011,JUN,3.1.2,Finished consumer goods excluding foods,103.1,
2011,JUN,3.1.2.1,Durable,100.6,
2011,JUN,3.1.2.2,Semi-durable,103.0,
2011,JUN,3.1.2.3,Non-durable,104.8,
2011,JUN,3.2,Capital equipment,97.5,
2011,JUN,3.2.1,Manufacturing industries,96.8,
2011,JUN,3.2.2,Non-manufacturing industries,98.1,
2011,JUL,Total,Total,113.3,
2011,JUL,1,Crude materials for further processing,126.0,
